Player EX Rating,9.380
Rank,Chart,Difficulty,Level,Accuracy,Score,Critical Max Score,EX Accuracy,EX Grade,EX Rating
1,WORNOUTTAPES,Star,25,99.92,1861162,1888626,98.55,S,0.455
2,Small Cloud Sugar Candy,Star,25,99.94,1777625,1820727,97.63,S,0.448
3,proper rhythm zflip,Star,24,100.00,1800733,1821051,98.88,S,0.439
4,SWING,Star,24,100.00,1838595,1861649,98.76,S,0.438
5,PROPERRHYTHM BOOTLEG,Star,24,100.00,1802843,1834508,98.27,S,0.435
6,Small Cloud Sugar Candy,UNBEATABLE,23,100.00,1786597,1809806,98.72,S,0.420
7,NOISZ - True,Star,23,99.93,1819870,1854483,98.13,S,0.416
8,NOISZ - Done In Love,Star,22,100.00,1852802,1879037,98.60,S,0.401
9,WORNOUTTAPES,UNBEATABLE,21,100.00,1841731,1860165,99.01,S+,0.385
10,GO FIGURE,Star,21,100.00,1808399,1830762,98.78,S,0.384
11,EMPTY DIARY DANTE,Star,21,100.00,1825458,1859797,98.15,S,0.380
12,Familiar - Brandon Liew Remix,Star,23,98.81,1747271,1886975,92.60,A,0.375
13,IT'S TIME TO DO CRIMES,UNBEATABLE,21,99.91,1833385,1883407,97.34,S,0.374
14,ALTERNATIVE POLICING STRATEGY ARCADE,UNBEATABLE,20,100.00,1822185,1837207,99.18,S++,0.368
15,Motherbound,Star,22,97.95,1712941,1852139,92.48,A,0.358
16,K Moe,Star,22,98.87,1693070,1836728,92.18,A,0.356
17,Om and On,Star,22,98.10,1701600,1852402,91.86,A,0.354
18,Eating Is Living,Star,22,98.33,1715861,1875963,91.47,A,0.351
19,PROPERRHYTHM MUST DIE,Star,20,99.61,1742047,1816558,95.90,S,0.347
20,AFTERBURNER,UNBEATABLE,22,97.40,1695467,1867135,90.81,A,0.347
21,FOREVER NOW,Star,18,100.00,1771520,1798633,98.49,S,0.327
22,SQUARE UP,UNBEATABLE,18,100.00,1833482,1862755,98.43,S,0.327
23,Infinity Chase AC,UNBEATABLE,22,98.18,1601658,1814322,88.28,A,0.310
24,DO NO HARM,UNBEATABLE,16,100.00,1804326,1820342,99.12,S+,0.294
25,Mirror,Star,16,100.00,1817140,1843884,98.55,S,0.291


Player Rating,10.427
(w/ 2.0 Completion),12.427
Rank,Chart,Difficulty,Level,Accuracy,Grade,Rating
1,Small Cloud Sugar Candy,Star,25,99.94,S+,0.466
2,WORNOUTTAPES,Star,25,99.92,S+,0.466
3,SWING,Star,24,100.00,S++,0.448
4,PROPERRHYTHM BOOTLEG,Star,24,100.00,S++,0.448
5,proper rhythm zflip,Star,24,100.00,S++,0.448
6,beat v rest pt 2 ac,UNBEATABLE,24,97.92,S,0.432
7,Small Cloud Sugar Candy,UNBEATABLE,23,100.00,S++,0.429
8,NOISZ - True,Star,23,99.93,S+,0.429
9,RETUNED AC,Star,24,96.56,S,0.422
10,Familiar - Brandon Liew Remix,Star,23,98.81,S,0.420
11,Forever Now - DOG_NOISE Remix,Star,24,96.04,S,0.418
12,ZERO MOMENT AC,Star,25,93.71,A,0.417
13,NOISZ - Done In Love,Star,22,100.00,S++,0.410
14,BookendSong AC,UNBEATABLE,23,97.31,S,0.410
15,K Moe,Star,22,98.87,S,0.403
16,Eating Is Living,Star,22,98.33,S,0.399
17,FORWARD OPERATING BASS,UNBEATABLE,22,98.27,S,0.398
18,True - Full,Star,22,98.26,S,0.398
19,proper rhythm zflip,UNBEATABLE,22,98.18,S,0.398
20,Infinity Chase AC,UNBEATABLE,22,98.18,S,0.398
21,Om and On,Star,22,98.10,S,0.397
22,Motherbound,Star,22,97.95,S,0.396
23,ZERO MOMENT AC,UNBEATABLE,22,97.64,S,0.394
24,AFTERBURNER,UNBEATABLE,22,97.40,S,0.392
25,EMPTY DIARY DANTE,Star,21,100.00,S++,0.392
